Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
map18,9.0,294.74,273.25,ok,ok
map20,0.0,199.84,210.0,ok,ok
map20,1.0,247.72,315.22,ok,ok
map20,2.0,222.78,282.37,ok,ok
map20,3.0,274.67,258.73,ok,ok
map20,4.0,268.76,219.22,ok,ok
map20,5.0,303.7,249.56,ok,ok
map20,6.0,248.44,311.32,ok,ok
map20,7.0,240.17,327.74,ok,ok
map20,8.0,270.72,212.57,ok,ok
map20,9.0,269.1,269.72,ok,ok
mcsched,0.0,230.16,190.97,ok,ok
mcsched,1.0,187.74,184.18,ok,ok
mcsched,2.0,175.43,197.51,ok,ok
mcsched,3.0,281.74,300.67,ok,ok
mcsched,4.0,193.65,211.34,ok,ok
mcsched,5.0,188.2,189.97,ok,ok
mcsched,6.0,168.42,181.38,ok,ok
mcsched,7.0,222.61,204.12,ok,ok
mcsched,8.0,119.89,140.01,ok,ok
mcsched,9.0,213.94,214.08,ok,ok
mik-250-1-100-1,0.0,260.91,1721.97,ok,ok
mik-250-1-100-1,1.0,245.82,1814.09,ok,ok
mik-250-1-100-1,2.0,235.54,2062.37,ok,ok
mik-250-1-100-1,3.0,209.41,1749.79,ok,ok
mik-250-1-100-1,4.0,232.13,1931.53,ok,ok
mik-250-1-100-1,5.0,226.62,1724.83,ok,ok
mik-250-1-100-1,6.0,200.85,1962.1,ok,ok
mik-250-1-100-1,7.0,228.0,1872.93,ok,ok
mik-250-1-100-1,8.0,276.9,1773.72,ok,ok
mik-250-1-100-1,9.0,260.35,1822.57,ok,ok
mine-166-5,0.0,20.9,22.22,ok,ok
mine-166-5,1.0,27.37,28.87,ok,ok
mine-166-5,2.0,21.85,24.28,ok,ok
mine-166-5,3.0,25.9,28.12,ok,ok
mine-166-5,4.0,37.63,18.09,ok,ok
mine-166-5,5.0,20.37,24.66,ok,ok
mine-166-5,6.0,23.78,23.52,ok,ok
mine-166-5,7.0,23.74,24.92,ok,ok
mine-166-5,8.0,30.06,26.35,ok,ok
mine-166-5,9.0,23.19,26.21,ok,ok
mine-90-10,0.0,698.7,2691.54,ok,ok
mine-90-10,1.0,101.07,523.52,ok,ok
mine-90-10,2.0,271.1,560.69,ok,ok
mine-90-10,3.0,3038.52,3600.01,ok,timelimit
mine-90-10,4.0,694.11,1104.54,ok,ok
mine-90-10,5.0,178.45,896.55,ok,ok
mine-90-10,6.0,2784.75,3600.0,ok,timelimit
mine-90-10,7.0,155.44,1039.94,ok,ok
mine-90-10,8.0,2373.08,1790.75,ok,ok
mine-90-10,9.0,193.38,2759.64,ok,ok
msc98-ip,0.0,3600.01,3600.0,timelimit,timelimit
msc98-ip,1.0,3600.0,3600.01,timelimit,timelimit
msc98-ip,2.0,3600.0,3600.0,timelimit,timelimit
msc98-ip,3.0,3600.01,3600.01,timelimit,timelimit
msc98-ip,4.0,3600.01,3600.01,timelimit,timelimit
msc98-ip,5.0,3600.0,3600.01,timelimit,timelimit
msc98-ip,6.0,3600.0,3600.01,timelimit,timelimit
msc98-ip,7.0,3600.0,3600.0,timelimit,timelimit
msc98-ip,8.0,3600.0,3600.01,timelimit,timelimit
msc98-ip,9.0,3600.0,3600.0,timelimit,timelimit
mspp16,0.0,18.94,20.92,memlimit,memlimit
mspp16,1.0,20.39,19.18,memlimit,memlimit
mspp16,2.0,20.28,21.08,memlimit,memlimit
mspp16,3.0,18.92,19.53,memlimit,memlimit
mspp16,4.0,19.03,20.32,memlimit,memlimit
mspp16,5.0,18.26,20.62,memlimit,memlimit
mspp16,6.0,18.63,20.3,memlimit,memlimit
mspp16,7.0,18.94,20.36,memlimit,memlimit
mspp16,8.0,19.49,19.34,memlimit,memlimit
mspp16,9.0,18.67,19.69,memlimit,memlimit
mzzv11,0.0,1132.98,650.0,ok,ok
mzzv11,1.0,785.78,903.34,ok,ok
mzzv11,2.0,1084.05,897.01,ok,ok
mzzv11,3.0,1437.71,803.06,ok,ok
mzzv11,4.0,1115.39,1702.63,ok,ok
mzzv11,5.0,1255.39,1141.42,ok,ok
mzzv11,6.0,1580.86,1980.99,ok,ok
mzzv11,7.0,1097.24,873.29,ok,ok
mzzv11,8.0,3482.59,3600.0,ok,timelimit
mzzv11,9.0,2414.65,1088.61,ok,ok
n3div36,0.0,3600.0,3600.0,timelimit,timelimit
n3div36,1.0,3600.01,3600.0,timelimit,timelimit
n3div36,2.0,3600.0,3602.79,timelimit,timelimit
n3div36,3.0,3600.0,3600.0,timelimit,timelimit
n3div36,4.0,3600.0,3600.0,timelimit,timelimit
n3div36,5.0,3600.0,3600.83,timelimit,timelimit
n3div36,6.0,3600.0,3600.01,timelimit,timelimit
n3div36,7.0,3600.01,3600.0,timelimit,timelimit
n3div36,8.0,3600.27,3600.0,timelimit,timelimit
n3div36,9.0,3600.0,3602.48,timelimit,timelimit
n3seq24,0.0,3600.01,3600.0,timelimit,timelimit
n3seq24,1.0,3600.01,3600.02,timelimit,timelimit
n3seq24,2.0,3600.01,3600.01,timelimit,timelimit
n3seq24,3.0,3600.01,3600.01,timelimit,timelimit
n3seq24,4.0,3600.0,3600.0,timelimit,timelimit
n3seq24,5.0,3600.0,3600.0,timelimit,timelimit
n3seq24,6.0,3600.03,3600.02,timelimit,timelimit
