Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc-tight5,3,ok,ok,ok,timelimit,timelimit,ok,ok,ok,ok,ok,timelimit,ok,ok,ok,9590.0,10874.0,16107.0,60000.0,60001.0,9600.0,14438.0,40265.0,15226.0,17863.0,60000.0,12652.0,27083.0,31940.0
acc-tight5,4,ok,timelimit,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,8675.0,60001.0,25724.0,14646.0,60000.0,7548.0,3359.0,33443.0,9143.0,25498.0,20527.0,13376.0,13655.0,5043.0
acc-tight6,0,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,25228.0,14644.0,10571.0,38516.0,60000.0,9107.0,4298.0,9482.0,10535.0,15030.0,9148.0,12084.0,6862.0,21226.0
acc-tight6,1,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,28930.0,8158.0,5206.0,41668.0,60000.0,15242.0,2840.0,20467.0,6057.0,37093.0,51230.0,32301.0,3877.0,9981.0
acc-tight6,2,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,8298.0,14178.0,12434.0,7592.0,60001.0,10726.0,2780.0,4072.0,16403.0,15799.0,33086.0,9222.0,5065.0,7446.0
acc-tight6,3,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,16384.0,18988.0,13531.0,2780.0,60001.0,12576.0,7361.0,11321.0,4361.0,33338.0,29012.0,18158.0,6448.0,10838.0
acc-tight6,4,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,4997.0,11333.0,19439.0,13997.0,60000.0,4045.0,2745.0,3245.0,10462.0,26818.0,20144.0,38717.0,3174.0,3598.0
aflow30a,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,374.05,664.89,186.62,765.71,1693.63,243.85,558.73,1143.65,373.3,413.96,238.36,1558.38,100.92,354.02
aflow30a,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,317.85,824.92,198.0,1029.9,1640.6,280.0,587.41,1130.1,319.08,401.37,278.05,1579.38,82.12,340.62
aflow30a,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,311.6,768.87,169.91,564.67,1697.29,204.87,757.59,1141.45,311.18,399.16,239.45,1618.94,88.95,327.13
aflow30a,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,304.04,667.66,159.3,289.84,1561.05,224.75,821.45,1140.89,307.24,418.41,262.47,1584.49,91.89,376.32
aflow30a,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,304.97,975.43,170.85,413.6,1663.5,197.98,565.35,1143.88,300.69,393.64,220.84,1551.66,94.56,470.94
aflow40b,0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,5238.16,14271.16,6514.19,10099.53,6856.96,4079.07,12300.68,27323.89,3588.88,6379.48,6543.08,5164.08,4319.38,7797.1
aflow40b,1,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,3635.3,14977.86,7756.96,18979.44,7873.43,3824.15,13282.2,16358.99,5134.84,5792.55,4466.49,8116.06,3275.83,7170.58
aflow40b,2,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,3482.48,18752.24,5778.59,19354.83,12439.56,3241.12,14356.61,32607.09,4822.98,3452.27,4306.02,7519.04,4189.3,9611.26
aflow40b,3,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,4625.55,12406.1,4797.37,21696.59,9855.25,3735.02,16896.39,15993.05,4079.08,4593.42,5054.65,7195.57,5048.21,9013.27
aflow40b,4,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,3888.2,16231.11,7307.04,20429.8,8692.68,3800.49,9838.7,18832.93,4336.12,4551.43,6479.31,5900.77,3626.79,8499.13
air03,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,94.6,111.55,127.82,114.51,201.84,130.71,94.51,105.0,237.0,111.03,58.38,188.28,91.78,79.1
air03,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,89.14,107.65,137.41,114.98,188.0,135.41,90.51,102.0,299.0,111.51,57.38,192.64,94.51,77.47
air03,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,87.87,108.13,135.41,114.03,206.46,135.0,95.87,104.0,310.42,111.51,59.38,189.65,93.51,77.98
air03,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,91.6,109.65,131.82,115.55,183.82,129.12,95.87,101.0,239.0,111.56,56.83,183.82,90.78,78.19
air03,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,87.87,109.6,133.82,109.55,196.74,131.41,94.6,103.0,231.0,114.46,56.83,187.28,91.78,79.1
air04,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,756.5,1428.18,454.2,7116.89,1208.09,449.39,1888.68,4935.25,2632.78,1719.39,6968.92,776.12,754.44,819.58
