Settings,,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATS-d_regions-goods200-bids1000_0009,0,28.06,600.0,42.87,83.04,175.61,293.96,34.44,26.82,31.47,27.78,39.88,60.54,46.44,28.77,54.18,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0009,1,27.97,600.0,39.63,59.9,103.68,297.31,36.42,25.48,32.08,28.03,33.28,42.19,51.8,28.69,57.22,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0009,2,28.6,600.0,40.66,76.73,105.15,293.65,34.82,27.84,36.61,29.75,30.81,45.25,54.35,29.4,51.4,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0009,3,28.45,600.0,33.31,96.1,128.52,292.03,37.49,39.5,30.19,34.45,36.24,45.46,47.09,28.6,58.72,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0009,4,27.59,600.0,39.89,78.95,105.98,302.86,33.2,28.44,31.59,26.18,35.77,44.41,39.82,28.13,52.68,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0010,0,24.15,600.0,19.88,23.21,22.45,120.58,25.62,18.41,19.14,23.13,18.72,17.18,25.84,24.18,17.89,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0010,1,23.37,600.0,20.08,24.74,38.84,120.62,24.92,18.3,19.03,22.82,19.19,17.16,25.79,23.74,16.12,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0010,2,23.95,600.0,19.63,21.04,36.22,121.05,25.13,18.12,19.06,22.64,18.93,18.49,26.55,24.07,18.49,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0010,3,23.85,600.0,29.97,23.84,37.28,121.3,25.59,18.19,19.02,22.74,18.7,18.01,25.93,24.1,18.4,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0010,4,23.55,600.0,20.54,23.25,38.43,120.36,25.55,18.27,18.84,22.95,19.04,17.15,28.31,23.79,17.12,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0011,0,11.55,600.0,6.8,20.22,18.3,53.69,8.47,6.69,6.2,18.58,7.46,16.83,21.01,11.82,13.39,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0011,1,11.55,600.0,6.85,20.78,11.31,53.96,18.29,6.68,6.15,18.65,7.46,16.85,13.86,11.76,13.21,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0011,2,12.18,600.0,6.83,19.59,11.25,54.05,8.5,6.58,6.15,18.72,7.51,16.1,14.48,12.41,13.51,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0011,3,7.84,600.0,6.83,16.56,11.33,53.29,12.28,6.6,6.11,18.69,7.4,17.09,13.08,7.98,13.36,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0011,4,11.75,600.0,6.79,20.05,11.21,54.24,12.04,6.66,6.15,18.68,7.5,16.63,12.65,11.91,13.5,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0012,0,22.35,600.0,20.9,34.2,76.69,149.37,22.96,19.15,19.4,23.88,20.3,31.76,29.08,22.8,32.34,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
