Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aflow30a,2,13.09,60.62,12.61,67.49,62.09,19.77,20.78,25.3,12.99,26.72,28.9,39.45,8.67,33.85,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aflow30a,3,13.18,54.73,12.4,42.06,41.72,20.21,21.03,25.38,13.23,24.9,29.32,36.94,8.38,35.08,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aflow30a,4,13.12,60.01,14.25,65.82,52.66,20.73,18.44,25.58,12.26,22.52,22.7,34.9,7.49,46.71,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aflow40b,0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
aflow40b,1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
aflow40b,2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
aflow40b,3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
aflow40b,4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
air03,0,1.2,1.54,1.56,1.58,4.05,1.61,1.18,1.05,2.37,1.54,0.79,3.87,1.14,0.87,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air03,1,1.12,1.48,1.67,1.59,3.81,1.65,1.14,1.02,2.99,1.55,0.78,3.92,1.18,0.86,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air03,2,1.12,1.49,1.65,1.57,4.02,1.66,1.2,1.04,3.11,1.55,0.8,3.89,1.17,0.86,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air03,3,1.17,1.5,1.6,1.58,3.8,1.58,1.2,1.01,2.39,1.54,0.78,3.8,1.13,0.94,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air03,4,1.12,1.51,1.62,1.52,3.98,1.61,1.2,1.03,2.31,1.59,0.78,3.86,1.14,0.87,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air04,0,68.78,55.02,77.23,86.97,254.33,59.71,49.66,68.94,71.01,70.7,93.72,77.04,68.01,72.42,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air04,1,53.07,60.59,61.52,32.05,315.46,63.5,49.82,59.99,73.41,87.68,102.18,104.74,52.72,65.05,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air04,2,88.18,77.97,97.67,36.06,298.44,55.81,76.62,70.39,110.46,88.21,99.69,118.39,84.99,62.62,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
