Settings,,default,no-redcost,default,no-redcost
,,Status,Status,PDInt,PDInt
ProblemName,Seed,,,,
mik-250-1-100-1,1.0,ok,ok,684.93,2446.43
mik-250-1-100-1,2.0,ok,ok,638.0,2707.38
mik-250-1-100-1,3.0,ok,ok,575.73,2380.88
mik-250-1-100-1,4.0,ok,ok,649.28,2590.24
mik-250-1-100-1,5.0,ok,ok,602.42,2320.64
mik-250-1-100-1,6.0,ok,ok,532.66,2624.16
mik-250-1-100-1,7.0,ok,ok,600.42,2500.0
mik-250-1-100-1,8.0,ok,ok,781.98,2377.37
mik-250-1-100-1,9.0,ok,ok,703.92,2417.08
mine-166-5,0.0,ok,ok,1187.87,1221.08
mine-166-5,1.0,ok,ok,1929.32,2007.92
mine-166-5,2.0,ok,ok,1141.1,1183.11
mine-166-5,3.0,ok,ok,1565.24,1552.02
mine-166-5,4.0,ok,ok,678.84,568.18
mine-166-5,5.0,ok,ok,1167.82,1212.37
mine-166-5,6.0,ok,ok,1369.12,1427.42
mine-166-5,7.0,ok,ok,1321.77,1442.15
mine-166-5,8.0,ok,ok,1424.49,1440.17
mine-166-5,9.0,ok,ok,1581.23,1692.18
mine-90-10,0.0,ok,ok,1648.96,2461.75
mine-90-10,1.0,ok,ok,925.68,1171.05
mine-90-10,2.0,ok,ok,1270.65,1422.44
mine-90-10,3.0,ok,timelimit,2311.09,3535.99
mine-90-10,4.0,ok,ok,1701.62,2060.35
mine-90-10,5.0,ok,ok,1204.26,1203.98
mine-90-10,6.0,ok,timelimit,2994.18,3264.57
mine-90-10,7.0,ok,ok,1518.38,1553.3
mine-90-10,8.0,ok,ok,2645.1,1921.81
mine-90-10,9.0,ok,ok,1487.83,2341.95
msc98-ip,0.0,timelimit,timelimit,146607.89,153078.66
msc98-ip,1.0,timelimit,timelimit,247240.67,218661.53
msc98-ip,2.0,timelimit,timelimit,46357.26,48650.53
msc98-ip,3.0,timelimit,timelimit,293620.72,288827.65
msc98-ip,4.0,timelimit,timelimit,235258.6,237978.54
msc98-ip,5.0,timelimit,timelimit,360000.0,360001.0
msc98-ip,6.0,timelimit,timelimit,360000.0,360001.0
msc98-ip,7.0,timelimit,timelimit,302410.2,312464.01
msc98-ip,8.0,timelimit,timelimit,69670.91,71001.63
msc98-ip,9.0,timelimit,timelimit,51587.6,53142.21
mspp16,0.0,memlimit,memlimit,0.0,0.0
mspp16,1.0,memlimit,memlimit,0.0,0.0
mspp16,2.0,memlimit,memlimit,0.0,0.0
mspp16,3.0,memlimit,memlimit,0.0,0.0
mspp16,4.0,memlimit,memlimit,0.0,0.0
mspp16,5.0,memlimit,memlimit,0.0,0.0
mspp16,6.0,memlimit,memlimit,0.0,0.0
mspp16,7.0,memlimit,memlimit,0.0,0.0
mspp16,8.0,memlimit,memlimit,0.0,0.0
mspp16,9.0,memlimit,memlimit,0.0,0.0
mzzv11,0.0,ok,ok,16083.85,16440.32
mzzv11,1.0,ok,ok,17657.12,18701.86
mzzv11,2.0,ok,ok,16959.45,18125.89
mzzv11,3.0,ok,ok,15076.21,16149.09
mzzv11,4.0,ok,ok,11473.23,13144.18
mzzv11,5.0,ok,ok,19875.0,21203.93
mzzv11,6.0,ok,ok,18791.33,17829.34
mzzv11,7.0,ok,ok,14713.16,16098.32
mzzv11,8.0,ok,timelimit,20471.4,21001.86
mzzv11,9.0,ok,ok,22364.6,17458.17
n3div36,0.0,timelimit,timelimit,25814.1,33033.31
n3div36,1.0,timelimit,timelimit,28284.0,33603.35
n3div36,2.0,timelimit,timelimit,29297.72,33595.95
n3div36,3.0,timelimit,timelimit,29934.21,40393.38
n3div36,4.0,timelimit,timelimit,28330.75,34979.91
n3div36,5.0,timelimit,timelimit,27089.8,34167.6
n3div36,6.0,timelimit,timelimit,28236.41,35881.81
n3div36,7.0,timelimit,timelimit,28083.47,34335.5
n3div36,8.0,timelimit,timelimit,26546.85,33614.38
n3div36,9.0,timelimit,timelimit,29541.92,30097.84
n3seq24,0.0,timelimit,timelimit,137110.75,138038.32
n3seq24,1.0,timelimit,timelimit,236467.41,222352.5
n3seq24,2.0,timelimit,timelimit,185083.55,185137.41
n3seq24,3.0,timelimit,timelimit,193923.43,192314.03
n3seq24,4.0,timelimit,timelimit,217001.74,215016.32
n3seq24,5.0,timelimit,timelimit,173982.08,168366.73
n3seq24,6.0,timelimit,timelimit,185543.12,189204.97
n3seq24,7.0,timelimit,timelimit,209214.1,215064.55
n3seq24,8.0,timelimit,timelimit,206076.82,220256.55
n3seq24,9.0,timelimit,timelimit,190054.42,199196.17
n4-3,0.0,ok,ok,4747.86,6813.77
n4-3,1.0,ok,ok,4831.3,5650.91
n4-3,2.0,ok,ok,5450.7,6135.48
n4-3,3.0,ok,ok,4549.61,5239.58
n4-3,4.0,ok,ok,4890.07,6177.41
n4-3,5.0,ok,ok,4709.48,7886.44
n4-3,6.0,ok,ok,4832.45,6668.12
n4-3,7.0,ok,ok,4668.33,6160.25
n4-3,8.0,ok,ok,4401.39,6433.23
n4-3,9.0,ok,ok,4668.14,7589.23
neos-1109824,0.0,ok,ok,2311.78,2220.08
neos-1109824,1.0,ok,ok,863.12,1073.86
neos-1109824,2.0,ok,ok,952.76,4627.85
neos-1109824,3.0,ok,ok,1734.39,1906.02
neos-1109824,4.0,ok,ok,912.32,1545.41
neos-1109824,5.0,ok,ok,1976.75,1815.12
neos-1109824,6.0,ok,ok,968.33,1105.29
neos-1109824,7.0,ok,ok,602.93,1203.55
neos-1109824,8.0,ok,ok,1748.18,3584.19
neos-1109824,9.0,ok,ok,1702.15,1582.32
neos-1337307,0.0,timelimit,timelimit,6905.49,6579.92
neos-1337307,1.0,timelimit,timelimit,5435.15,5485.21
neos-1337307,2.0,timelimit,timelimit,6724.86,6145.46
neos-1337307,3.0,timelimit,timelimit,7352.7,6623.97
neos-1337307,4.0,timelimit,timelimit,7814.74,7338.35
neos-1337307,5.0,timelimit,timelimit,7814.5,5560.68
neos-1337307,6.0,timelimit,timelimit,6811.8,4730.42
neos-1337307,7.0,timelimit,timelimit,6435.78,9116.8
neos-1337307,8.0,timelimit,timelimit,6197.97,6648.48
neos-1337307,9.0,timelimit,timelimit,7814.11,5791.82
neos-1396125,0.0,ok,ok,11873.81,11023.63
neos-1396125,1.0,ok,ok,12585.17,11767.75
neos-1396125,2.0,ok,ok,7430.89,10666.47
neos-1396125,3.0,ok,ok,8106.8,9504.71
neos-1396125,4.0,ok,ok,9150.28,10694.61
neos-1396125,5.0,ok,ok,17106.26,8905.35
neos-1396125,6.0,ok,ok,13119.39,9919.44
neos-1396125,7.0,ok,ok,1555.34,1606.32
neos-1396125,8.0,ok,ok,14557.73,10674.98
neos-1396125,9.0,ok,ok,9901.77,12399.88
neos-1601936,0.0,timelimit,timelimit,291741.21,341247.1
neos-1601936,1.0,timelimit,timelimit,318280.59,352965.3
neos-1601936,2.0,timelimit,timelimit,346774.94,328185.95
neos-1601936,3.0,timelimit,timelimit,332866.83,351893.18
neos-1601936,4.0,timelimit,timelimit,317062.82,296563.95
neos-1601936,5.0,timelimit,timelimit,347285.35,355934.96
neos-1601936,6.0,timelimit,timelimit,351846.4,355335.0
neos-1601936,7.0,timelimit,timelimit,299197.9,306190.44
neos-1601936,8.0,timelimit,timelimit,284978.83,326822.61
neos-1601936,9.0,timelimit,timelimit,347444.88,315666.74
neos-476283,0.0,ok,ok,3085.81,3407.63
neos-476283,1.0,ok,ok,3582.34,3202.55
neos-476283,2.0,ok,ok,2962.7,3058.01
neos-476283,3.0,ok,ok,3746.55,3698.56
neos-476283,4.0,ok,ok,3665.05,3542.75
neos-476283,5.0,ok,ok,3336.33,3269.93
neos-476283,6.0,ok,ok,3687.79,3370.98
neos-476283,7.0,ok,ok,3397.93,3714.44
neos-476283,8.0,ok,ok,3558.27,3584.03
neos-476283,9.0,ok,ok,3545.46,3627.36
neos-686190,0.0,ok,ok,3523.79,3785.75
neos-686190,1.0,ok,ok,5084.56,4986.22
neos-686190,2.0,ok,ok,3118.83,3809.62
neos-686190,3.0,ok,ok,7209.87,9990.21
neos-686190,4.0,ok,ok,7344.18,12044.85
neos-686190,5.0,ok,ok,7413.89,6259.03
neos-686190,6.0,ok,ok,2585.46,3229.23
neos-686190,7.0,ok,ok,4931.31,14707.06
neos-686190,8.0,ok,ok,4776.53,4654.0
neos-686190,9.0,ok,ok,7649.83,18397.0
neos-849702,0.0,ok,ok,71196.0,74107.0
neos-849702,1.0,ok,ok,27355.0,26944.0
neos-849702,2.0,ok,ok,20365.0,19566.0
neos-849702,3.0,ok,ok,24795.0,25347.0
neos-849702,4.0,ok,ok,14786.0,14498.0
neos-849702,5.0,ok,ok,277376.0,273271.0
neos-849702,6.0,ok,ok,38877.0,40276.0
neos-849702,7.0,ok,ok,34419.0,32417.0
neos-849702,8.0,ok,ok,72037.0,54179.0
neos-849702,9.0,ok,ok,15325.0,14403.0
neos-916792,0.0,ok,ok,3370.31,2987.65
neos-916792,1.0,timelimit,ok,32719.69,4282.96
neos-916792,2.0,ok,ok,8166.27,6122.47
neos-916792,3.0,timelimit,ok,37612.89,6051.27
neos-916792,4.0,ok,ok,5361.12,3080.49
